Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,22.540001,23.340000,22.250000,22.920000,22.920000,2683900
2021-09-14,22.950001,23.080000,22.155001,22.360001,22.360001,2031600
2021-09-15,22.250000,22.459999,21.740000,22.360001,22.360001,2374000
2021-09-16,22.299999,23.885000,22.045000,23.740000,23.740000,2398100
2021-09-17,24.309999,25.980000,24.090000,25.940001,25.940001,8552600
2021-09-20,24.440001,25.010000,23.680000,24.320000,24.320000,2887600
2021-09-21,24.420000,25.450001,24.100000,25.219999,25.219999,1648000
2021-09-22,25.520000,26.059999,25.139999,25.719999,25.719999,1526100
2021-09-23,25.965000,26.240000,25.350000,26.049999,26.049999,1043300
2021-09-24,25.770000,26.049999,24.969999,25.299999,25.299999,1071900
2021-09-27,25.260000,26.549999,25.020000,26.260000,26.260000,1550800
2021-09-28,25.940001,26.230000,24.270000,24.420000,24.420000,1902700
2021-09-29,24.540001,24.910000,23.590000,23.590000,23.590000,1723600
2021-09-30,23.650000,24.150000,23.500000,23.889999,23.889999,1163600
2021-10-01,24.129999,24.764999,23.660000,24.629999,24.629999,1160500
2021-10-04,24.540001,24.540001,22.160000,22.240000,22.240000,2264500
2021-10-05,22.360001,22.410000,21.110001,21.250000,21.250000,2838300
2021-10-06,20.719999,22.020000,20.530001,21.559999,21.559999,2463200
2021-10-07,22.150000,22.915001,21.900000,22.530001,22.530001,1622800
2021-10-08,22.590000,22.711000,22.020000,22.129999,22.129999,844900
2021-10-11,22.129999,23.350000,21.950001,21.969999,21.969999,1185700
2021-10-12,22.139999,22.750000,21.969999,22.549999,22.549999,1554500
2021-10-13,22.730000,23.129999,22.250000,22.990000,22.990000,1201500
2021-10-14,23.340000,23.389999,22.459999,22.510000,22.510000,1473200
2021-10-15,22.950001,22.950001,22.049999,22.059999,22.059999,1311100
2021-10-18,21.980000,22.379999,21.860001,22.000000,22.000000,1045900
2021-10-19,22.059999,22.260000,21.700001,22.230000,22.230000,1386200
2021-10-20,22.230000,22.715000,22.014999,22.230000,22.230000,1094300
2021-10-21,22.150000,22.700001,21.830000,22.389999,22.389999,1949700
2021-10-22,22.330000,22.459999,20.870001,21.129999,21.129999,2202300
2021-10-25,21.170000,23.360001,20.910000,23.150000,23.150000,2989900
2021-10-26,23.379999,25.959999,23.320000,25.090000,25.090000,3882300
2021-10-27,25.200001,27.500000,25.200001,26.650000,26.650000,4265900
2021-10-28,26.855000,26.900000,22.570000,23.030001,23.030001,12015000
2021-10-29,22.969999,23.889999,22.400000,23.709999,23.709999,4616900
2021-11-01,24.000000,24.829000,23.820000,24.299999,24.299999,3051600
2021-11-02,24.389999,25.490000,23.750000,25.160000,25.160000,3948800
2021-11-03,24.840000,25.660000,24.639999,24.940001,24.940001,2482300
2021-11-04,25.049999,25.600000,24.540001,24.980000,24.980000,1729500
2021-11-05,25.090000,25.190001,24.296000,24.430000,24.430000,1484400
2021-11-08,25.240000,25.520000,24.580000,24.790001,24.790001,2247600
2021-11-09,24.740000,24.790001,22.590000,22.840000,22.840000,3629600
2021-11-10,24.985001,25.790001,23.760000,24.610001,24.610001,6404400
2021-11-11,24.695000,27.129999,24.559999,25.950001,25.950001,4524700
2021-11-12,25.299999,25.730000,24.750000,24.750000,24.750000,2659800
2021-11-15,24.889999,25.520000,24.780001,25.150000,25.150000,2100600
2021-11-16,25.090000,25.139999,24.120001,24.670000,24.670000,1896200
2021-11-17,22.610001,23.323999,21.415001,22.070000,22.070000,11766400
2021-11-18,21.830000,22.000000,21.110001,21.450001,21.450001,9419500
2021-11-19,21.290001,22.635000,21.240000,22.270000,22.270000,3827500
2021-11-22,23.330000,23.500000,22.100000,22.559999,22.559999,3951900
2021-11-23,22.620001,23.240000,21.540001,21.990000,21.990000,2614300
2021-11-24,21.700001,22.240000,21.025000,21.809999,21.809999,2149400
2021-11-26,20.980000,21.680000,20.370001,21.090000,21.090000,2371300
2021-11-29,21.290001,21.500000,20.020000,20.830000,20.830000,3061100
2021-11-30,20.730000,22.250000,20.670000,21.219999,21.219999,5194200
2021-12-01,21.250000,22.000000,20.219999,20.219999,20.219999,3125300
2021-12-02,20.270000,20.799999,19.080000,19.660000,19.660000,4576100
2021-12-03,19.490000,19.590000,17.639999,17.770000,17.770000,5538900
2021-12-06,17.510000,19.090000,16.760000,18.719999,18.719999,4035800
2021-12-07,19.100000,19.900000,19.030001,19.370001,19.370001,4027900
2021-12-08,19.600000,20.020000,19.110001,19.690001,19.690001,2365800
2021-12-09,19.940001,20.309999,19.379999,19.660000,19.660000,2927900
2021-12-10,19.270000,19.549999,18.299999,18.559999,18.559999,4210200
2021-12-13,18.330000,19.290001,17.820000,18.290001,18.290001,3622300
2021-12-14,17.980000,18.434999,17.350000,17.559999,17.559999,3055500
2021-12-15,17.500000,18.230000,16.930000,17.920000,17.920000,3993700
2021-12-16,18.600000,19.549999,17.950001,18.190001,18.190001,4114400
2021-12-17,17.969999,19.302999,17.410000,18.799999,18.799999,12236800
2021-12-20,18.450001,18.719999,17.870001,18.080000,18.080000,3118000
2021-12-21,18.510000,19.318001,18.400000,19.180000,19.180000,3068900
2021-12-22,18.860001,19.969999,18.860001,19.650000,19.650000,3635900
2021-12-23,19.530001,20.030001,19.299999,19.790001,19.790001,3782700
2021-12-27,19.850000,20.059999,19.462999,19.760000,19.760000,2930100
