Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,47.330002,47.750000,46.580002,47.639999,47.639999,5018200
2021-09-14,48.049999,48.459999,47.270000,47.849998,47.849998,5553200
2021-09-15,48.240002,49.230000,47.570000,49.209999,49.209999,5534000
2021-09-16,48.930000,49.709999,48.380001,49.400002,49.400002,5785300
2021-09-17,49.290001,49.400002,48.090000,48.889999,48.889999,7268000
2021-09-20,47.310001,47.680000,46.759998,47.669998,47.669998,5472600
2021-09-21,48.180000,48.180000,46.939999,47.680000,47.680000,4289700
2021-09-22,48.080002,48.790001,47.779999,48.599998,48.599998,3826000
2021-09-23,48.750000,49.779999,48.500000,49.360001,49.360001,3800000
2021-09-24,49.000000,49.650002,48.869999,49.290001,49.290001,3434500
2021-09-27,48.570000,49.730000,48.509998,49.480000,49.480000,5005200
2021-09-28,48.340000,48.459999,46.959999,47.330002,47.330002,7465000
2021-09-29,46.750000,47.180000,45.160000,45.840000,45.840000,8159100
2021-09-30,46.240002,46.770000,45.680000,45.770000,45.770000,4908500
2021-10-01,45.880001,46.419998,45.450001,45.610001,45.610001,6209100
2021-10-04,45.310001,45.599998,44.650002,44.889999,44.889999,4666600
2021-10-05,45.500000,46.189999,45.000000,45.639999,45.639999,5068200
2021-10-06,44.779999,45.400002,44.360001,44.700001,44.700001,3735700
2021-10-07,45.220001,46.400002,45.220001,45.389999,45.389999,4553200
2021-10-08,45.680000,45.759998,44.419998,44.480000,44.480000,3279500
2021-10-11,44.040001,44.849998,43.340000,43.349998,43.349998,4143500
2021-10-12,43.759998,43.849998,42.060001,42.349998,42.349998,6725900
2021-10-13,42.360001,42.869999,41.880001,41.900002,41.900002,4630200
2021-10-14,42.599998,43.180000,42.520000,43.009998,43.009998,6318600
2021-10-15,43.220001,43.759998,43.070000,43.330002,43.330002,3750300
2021-10-18,43.099998,44.220001,43.000000,44.160000,44.160000,4047100
2021-10-19,44.250000,45.160000,43.900002,44.950001,44.950001,4420500
2021-10-20,44.900002,45.930000,44.900002,45.560001,45.560001,4768400
2021-10-21,45.240002,46.369999,45.240002,46.320000,46.320000,2759700
2021-10-22,46.349998,46.869999,45.889999,45.970001,45.970001,3076300
2021-10-25,46.240002,46.610001,45.910000,46.220001,46.220001,1930100
2021-10-26,46.820000,46.820000,45.049999,45.139999,45.139999,3192800
2021-10-27,44.090000,45.490002,43.750000,44.549999,44.549999,5390100
2021-10-28,45.669998,47.570000,45.360001,47.099998,47.099998,7547700
2021-10-29,46.250000,48.220001,46.209999,48.070000,48.070000,10021100
2021-11-01,53.750000,55.570000,51.330002,54.990002,54.990002,23265200
2021-11-02,55.980000,57.240002,55.270000,57.139999,57.139999,11103600
2021-11-03,57.380001,58.560001,56.970001,57.849998,57.849998,7836900
2021-11-04,58.270000,59.900002,57.540001,59.860001,59.860001,9286700
2021-11-05,60.000000,61.520000,58.240002,59.130001,59.130001,7269900
2021-11-08,59.950001,60.160000,58.599998,58.720001,58.720001,6016500
2021-11-09,58.910000,59.099998,57.389999,58.200001,58.200001,4864700
2021-11-10,56.849998,57.849998,56.119999,56.820000,56.820000,5782100
2021-11-11,57.919998,59.240002,57.570000,58.200001,58.200001,4802800
2021-11-12,58.730000,59.150002,58.029999,58.599998,58.599998,3038500
2021-11-15,59.599998,60.369999,58.439999,59.200001,59.200001,4991600
2021-11-16,58.880001,62.299999,58.619999,62.130001,62.130001,6342900
2021-11-17,62.150002,62.560001,61.270000,62.400002,62.400002,7173500
2021-11-18,63.480000,63.959999,62.310001,63.459999,63.459999,5477200
2021-11-19,63.099998,63.919998,62.220001,63.340000,63.340000,5341700
2021-11-22,64.040001,64.040001,61.360001,61.709999,61.709999,5675800
2021-11-23,61.689999,61.990002,60.529999,61.540001,61.540001,6360100
2021-11-24,60.650002,62.540001,59.610001,62.369999,62.369999,4098000
2021-11-26,60.430000,61.070000,59.150002,60.299999,60.299999,4053700
2021-11-29,61.230000,63.180000,61.230000,63.020000,63.020000,5530000
2021-11-30,62.639999,63.900002,61.000000,61.430000,61.430000,5595900
2021-12-01,63.049999,65.470001,61.630001,61.700001,61.700001,8035400
